6012017;7420947;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;10;F;1;213;VERACRUZ;216;MEXICO;HAPAG-LLOYD;563;80992000;3;HAPAG-LLOYD;80992000;3;0;202;;7092017;142;3;5;1;16032,1;0;0;16032,1;0;0;270;1;1;10068;16032,1;0; ;0; ;0;1;2;SI; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~  DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;61750;,259629;16032,1;68;700.0;TLCCH-M;99;0000007849;KGS;33;;0000000002.00;10068                                                                                                                                                                                                                                                                                           ;6012017;1;76;1;                                                     ;6012017;1;HLCUSCL161214598;11122016;RUDOLF SCHEPERS;146458;2017;01
6012017;7420964;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;10;F;1;213;VERACRUZ;216;MEXICO;HAPAG-LLOYD;563;80992000;3;HAPAG-LLOYD;80992000;3;0;216;;7092017;142;3;5;1;11390,5;0;0;11390,5;0;0;270;1;1;11417;11390,5;0; ;0; ;0;2;2;SI; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~  DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;42700;,266756;11390,5;68;700.0;TLCCH-M;99;0000009686;KGS;33;;0000000002.20;11417                                                                                                                                                                                                                                                                                           ;6012017;1;76;1;                                                     ;6012017;1;HLCUSCL161214598;11122016;RUDOLF SCHEPERS;146458;2017;01
6012017;7432973;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;10;F;1;399;PUERTO CALDERA;211;COSTA RICA;MAERSK SEALAND;507;96653890;2;MAERSK SEALAND;96653890;2;0;211;;17092017;142;1;5;1;10264,13;0;0;10264,13;0;0;270;1;1;4274;10264,13;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~ DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;42900;,239257;10264,13;99;2901.0;KN;33;;0000000000.80;68;750;TLCCH-CR;4274                                                                                                                                                                                                                                                                          ;6012017;1;76;1;                                                     ;6012017;1;SLD360660;21122016;MAERSK GATESHEAD;146746;2017;01
6012017;7432999;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;10;F;1;399;PUERTO CALDERA;211;COSTA RICA;MAERSK SEALAND;507;96653890;2;MAERSK SEALAND;96653890;2;0;211;;17092017;142;1;5;1;13338,61;0;0;13338,61;0;0;270;1;1;3615,5;13338,61;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~ DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;57600;,231573;13338,61;99;2443.0;KN;33;;0000000000.80;68;750;TLCCH-CR;3615,5                                                                                                                                                                                                                                                                      ;6012017;1;76;1;                                                     ;6012017;1;SLD360660;21122016;MAERSK GATESHEAD;146746;2017;01
6012017;7460588;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;11;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEXUS LOGISTICS S.A.;76320340;9;0;225;;27092017;13;3;9;1;13993,1;0;2589,1;11404;0;0;270;3;166;834;11404;2589,1; ;0; ;13993,1;0;0;NO; ;;0;;0;;1;PEONIAS         ~ PEONIA FRESCA~ CHILFRESH-F~ GRADO 50-60CM~ PAEONIA S;PP;;;;;;6031930;6;548;18,59854;10192;99;14560.0;UNIDADES;68;;SIN ACUERDO;0;;;564                                                                                                                                                                                                                                                                                                   ;6012017;1;22;166;ROTULADO                                           ;6012017;1;369-68886790;31122016;ATLAS AIR;625519;2017;01
6012017;7460588;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;11;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEXUS LOGISTICS S.A.;76320340;9;0;225;;27092017;13;3;9;1;13993,1;0;2589,1;11404;0;0;270;3;166;834;11404;2589,1; ;0; ;13993,1;0;0;NO; ;;0;;0;;2;EREMURUS        ~ EREMURUS FRESCOS~ CHILFRESH-F~ GRADO 80-90 CM~ EREMU;RUS SPP;;;;;;6031999;6;60;4,9;294;99;980.0;VARAS;0;;;0;;;80                                                                                                                                                                                                                                                                                                                      ;6012017;1;22;166;ROTULADO                                           ;6012017;1;369-68886790;31122016;ATLAS AIR;625519;2017;01
6012017;7460588;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;11;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEXUS LOGISTICS S.A.;76320340;9;0;225;;27092017;13;3;9;1;13993,1;0;2589,1;11404;0;0;270;3;166;834;11404;2589,1; ;0; ;13993,1;0;0;NO; ;;0;;0;;3;BLACKBERRIES    ~ BLACKBERRIES FRESCOS~ CHILFRESH-F~ GRADO 45-50 CM~ C;ORTADOS PARA ADORNO;;;;;;6031999;6;170;5,4;918;99;3060.0;VARAS;0;;;0;;;190                                                                                                                                                                                                                                                                                                        ;6012017;1;22;166;ROTULADO                                           ;6012017;1;369-68886790;31122016;ATLAS AIR;625519;2017;01
9012017;7390887;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;10;F;1;231;CARTAGENA;202;COLOMBIA;HAPAG-LLOYD;563;80992000;3;DENKERS CHILE S.P.A.;76356896;2;0;202;;24082017;142;1;5;1;16793,32;0;0;16793,32;0;0;270;1;1;5276;16793,32;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~ DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;72100;,232917;16793,32;99;3661.0;KN;33;;0000000001.00;68;640;ALCCH-COL;5276                                                                                                                                                                                                                                                                             ;9012017;1;76;1;                                                     ;9012017;1;DKSRCLSVE1611010;28112016;JPO LIBRA;145987;2017;01
9012017;7441437;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;10;F;1;213;VERACRUZ;216;MEXICO;HAPAG-LLOYD;563;80992000;3;HAPAG-LLOYD;80992000;3;0;216;;22092017;142;3;5;1;21503,01;0;0;21503,01;0;0;270;1;1;21562;21503,01;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~ DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;89985;,238962;21503,01;99;14527.0;KN;33;;0000000004.40;68;700;TLCCH-M;21562                                                                                                                                                                                                                                                                                         ;9012017;1;76;1;                                                     ;9012017;1;HLCUSCL161241405;26122016;LIMARI;146696;2017;01
9012017;7453916;48;200;3;4196;100;10301;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;F;4;141;MIAMI;225;U.S.A.;LAN CHILE;997;89862200;2;DANGEROUS & DRY CARGO S.A.;99535350;4;0;225;2.0;23092017;13;3;2;1;17160;0;2931,58;14228,42;0;0;270;1;143;976;14228,42;2931,58; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ FLORES DE PEONIA~ EDUARDO ENGLER-F~ VAR.CORAL SUNSE;T,PEONIA SPP~ FRESCAS;;;;;;6031930;6;746;19,072949;14228,42;99;14300.0;UNIDADES;68;650;TLCCH-USA;64;a;VARIACION P/U;976                                                                                                                                                                                                                                                     ;9012017;1;22;143;ROT.                                               ;9012017;1;001-87818076;27122016;AMERICAN AIRLINES;618801;2017;01
10012017;7336427;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;10;F;1;399;PUERTO CALDERA;211;COSTA RICA;SEALAND;216;33333333;3;SEALAND;33333333;3;0;211;;21082017;142;1;5;1;60206,21;0;0;60206,21;0;0;270;1;1;21881;60206,21;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~ DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;254825;,236265;60206,21;99;14846.0;KN;33;;0000000004.40;68;750;TLCCH-CR;21881                                                                                                                                                                                                                                                                                     ;10012017;1;76;1;                                                     ;10012017;1;SLD330257;19102016;LAURA MAERSK;143906;2017;01
10012017;7430605;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;10;F;1;242;GUAYAQUIL;218;ECUADOR;HAPAG-LLOYD;563;80992000;3;DENKERS BV;33333333;3;0;202;;15092017;142;1;5;1;26336,48;0;0;26336,48;0;0;270;1;1;10516,5;26336,48;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~  DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;128800;,204476;26336,48;68;565.0;ACE;99;00007099.5;KILO;33;;0000000002.20;10516,5                                                                                                                                                                                                                                                                                    ;10012017;1;76;1;                                                     ;10012017;1;DKSRCLSVE1612006;17122016;ELISABETH-S.;146766;2017;01
10012017;7455274;55;200;3;4095;100;10304;0;3188;0;0;908;SAN VICENTE;10;F;1;231;CARTAGENA;202;COLOMBIA;HAPAG LLOYD;563;76049840;8;HAPAG LLOYD;76049840;8;0;515;;27092017;142;3;5;1;14900,89;0;0;14900,89;0;0;270;1;1;7749;14900,89;55; ;0; ;0;2;2;SI; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE LILIUM~ SOUTHERN BULBS-F~ DE LILIUM~ EN R;EPOSO VEGETATIVO;;;;;;6011011;10;104100;,14314;14900,89;33;;0000000001.60;68;640;ALCCH-COL;99;0000104100;UNIDADES;7749                                                                                                                                                                                                                                                                               ;10012017;1;76;1;                                                     ;10012017;1;DKSRCLSVE1612008;31122016;DUBLIN EXPRESS;146953;2017;01
11012017;7406923;34;200;3;1976;100;14106;0;3188;0;0;905;VALPARAISO;10;F;1;499;HO CHI MINH;325;VIETNAM;HAPAG-LLOYD;563;80992000;3;HAPAG-LLOYD;80992000;3;0;202;;2092017;142;1;5;1;14654,32;0;0;14654,32;0;0;270;1;1;6026;14654,32;0; ;0; ;0;2;4;SI; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~  DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;61000;,240235;14654,32;68;829.0;TLCCH-VIET;99;0000003983;KGS;33;;0000000001.20;6026                                                                                                                                                                                                                                                                                   ;11012017;1;76;1;                                                     ;11012017;1;HLCUSCL161205305;6122016;SANTA BARBARA;145776;2017;01
11012017;7420906;55;200;3;1976;100;14106;0;3188;0;0;905;VALPARAISO;10;F;1;413;YANTIAN;336;CHINA;HAPAG-LLOYD;563;80992000;3;HAPAG-LLOYD;80992000;3;0;336;;9092017;142;3;5;1;68084,87;0;0;68084,87;0;0;270;1;1;21251;68084,87;0; ;0; ;0;2;2;SI; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~  DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;291850;,233287;68084,87;68;816.0;TLC-CHCHI;99;0000014551;KGS;33;;0000000004.20;21251                                                                                                                                                                                                                                                                                       ;11012017;1;76;1;                                                     ;11012017;1;HLCUSCL161216973;14122016;SANTA URSULA;146592;2017;01
12012017;7403313;55;200;3;1976;100;14106;0;3188;0;0;909;LIRQUEN;10;F;1;180;OAKLAND;225;U.S.A.;HAPAG-LLOYD;563;80992000;3;HAPAG-LLOYD;80992000;3;0;225;;30082017;142;1;5;1;59508,36;0;0;59508,36;0;0;270;1;1;20076;59508,36;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~ DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;253650;,234608;59508,36;99;13744.0;KN;33;;0000000004.00;68;650;TLCCH-USA;20076                                                                                                                                                                                                                                                                                           ;12012017;1;76;1;                                                     ;12012017;1;HLCUSCL161146517;3122016;MOL PREMIUM;144767;2017;01
12012017;7413361;48;200;3;1300;100;13107;0;3188;0;0;992;AEROP.A.M.BENITEZ;6;R;4;251;LIMA;219;PERU;KOREAN AIR LINES CO., LTD.;333;59173040;1;ACOSTA & AGUAYO;78171100;4;0;219;;2072017;13;1;2;1;278045,6;0;1795,6;276250;0;0;210;1;66;539;276250;1795,6; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ PLANTAS VIVAS~ HORTIFRUT-F~ DE ARANDANOS~ VIVAS CON;RAICES~;;;;;;6022041;10;85000;3,25;276250;68;538.0;ACE;0;;;0;;;539                                                                                                                                                                                                                                                                                                                  ;12012017;1;22;66;ROTULADO                                            ;12012017;1;180-40010165;5122016;KOREAN AIR LINES CO.;620719;2017;01
12012017;7413374;48;200;3;1300;100;13107;0;3188;0;0;992;AEROP.A.M.BENITEZ;6;R;4;251;LIMA;219;PERU;KOREAN AIR LINES CO., LTD.;333;59173040;1;ACOSTA & AGUAYO;78171100;4;0;219;;2072017;13;1;2;1;24662,65;0;662,65;24000;0;0;210;1;24;173;24000;662,65; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ PLANTAS VIVAS~ HORTIFRUT-F~ DE ARANDANOS~ VIVAS CON;RAICES~;;;;;;6022041;10;30000;,8;24000;68;538.0;ACE;0;;;0;;;173                                                                                                                                                                                                                                                                                                                       ;12012017;1;22;24;ROTULADO                                            ;12012017;1;180-40010132;5122016;KOREAN AIR LINES CO.;620719;2017;01
12012017;7429733;55;200;3;4095;100;10304;0;3188;0;0;908;SAN VICENTE;10;F;1;231;CARTAGENA;202;COLOMBIA;HAPAG-LLOYD;563;80992000;3;DENKERS BV;33333333;3;0;202;;13092017;142;3;5;1;20751,65;0;0;20751,65;0;0;270;1;1;11739;20751,65;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ SOUTHERN BULBS-F~ DE LILIUM~ EN R;EPOSO VEGETATIVO;;;;;;6011011;10;147400;,140785;20751,65;68;640.0;ALCCH-COL;99;0000010621;KN;33;;0000000002.40;11739                                                                                                                                                                                                                                                                                    ;12012017;1;76;1;                                                     ;12012017;1;DKSRCLSVE1612003;17122016;ELISABETH-S.;146766;2017;01
12012017;7430254;55;200;3;3724;100;8301;0;3188;0;0;908;SAN VICENTE;10;F;1;399;PUERTO LIMON;211;COSTA RICA;HAPAG-LLOYD;563;80992000;3;HAPAG-LLOYD;80992000;3;0;211;;13092017;142;1;5;1;33243,3;0;0;33243,3;0;0;270;1;1;23100;33243,3;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ SUN HARVEST-F~  DE LILIUM~ EN REP;OSO VEGETATIVO;;;;;;6011011;10;420000;,079151;33243,3;99;21000.0;KILO;68;750;TLCCH-CR;33;;0000000004.60;23100                                                                                                                                                                                                                                                                                    ;12012017;1;76;1;                                                     ;12012017;1;HLCUSCL161213116;17122016;ELISABETH-S.;146766;2017;01
12012017;7430292;55;200;3;3724;100;8301;0;3188;0;0;908;SAN VICENTE;10;F;1;242;GUAYAQUIL;218;ECUADOR;HAPAG-LLOYD;563;80992000;3;DENKERS BV;33333333;3;0;211;;13092017;142;1;5;1;30363,2;0;0;30363,2;0;0;270;1;1;11374;30363,2;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ SUN HARVEST-F~  DE LILIUM~ EN REP;OSO VEGETATIVO;;;;;;6011011;10;140000;,21688;30363,2;68;565.0;ACE;99;0000010340;KILO;33;;0000000002.20;11374                                                                                                                                                                                                                                                                                                 ;12012017;1;76;1;                                                     ;12012017;1;DKSRCLSVE1612005;17122016;ELISABETH-S.;146766;2017;01
12012017;7435094;55;200;3;4095;100;10304;0;3188;0;0;908;SAN VICENTE;10;F;1;399;PUERTO CALDERA;211;COSTA RICA;HAPAG-LLOYD;563;80992000;3;SEALAND;33333333;3;0;211;;17092017;142;3;5;1;19173,27;0;0;19173,27;0;0;270;1;1;11220;19173,27;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ SOUTHERN BULBS-F~ DE LILIUM~ EN R;EPOSO VEGETATIVO;;;;;;6011011;10;136350;,140618;19173,27;99;10691.0;KN;68;750;TLCCH-CR;33;;0000000002.20;11220                                                                                                                                                                                                                                                                                 ;12012017;1;76;1;                                                     ;12012017;1;571639668;21122016;MAERSK GATESHEAD;146746;2017;01
12012017;7437397;48;200;3;3833;100;10301;0;3188;0;0;992;AEROP.A.M.BENITEZ;10;R;4;134;NEW YORK;225;U.S.A.;CARGONET CENTER S.A.;997;33333333;3;CARGO NET CENTER  S.A;77774820;3;0;225;;14092017;142;1;3;1;2776,85;0;0;2776,85;0;0;270;1;66;1386;4577,85;0; ;0; ;0;0;0;NO; ;;0;;0;;1;SIN-CODIGO      ~ BULBOS DE FLORES~ SOC. COM SUN AND BREEZE-F~ DE LIL;IUM~ EN REPOSO VEGETATIVOS;;;;;;6011011;10;1320;3,468068;4577,85;68;650.0;TLCCH-USA;99;0000019800;KN;0;;;1386                                                                                                                                                                                                                                                                       ;12012017;1;40;66;ROTUL.                                              ;12012017;1;045-01919654;18122016;CARGONET CENTER S.A.;621224;2017;01
12012017;7438999;48;200;3;2704;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;7;R;4;264;MENDOZA;224;ARGENTINA;LAN CHILE;997;89862200;2;CHILEXPRESS S.A.;96756430;3;0;224;2.0;22092017;13;1;2;1;33199,56;0;851,4;32348,16;0;0;270;1;7;691,4;32348,16;851,4; ;0; ;0;0;0;NO; ;;0;;0;;1;POLIVO          ~ PLANTAS DE OLIVO~ AGROMILLORA-F~ VARIEDAD: ARBOSA;NA ~VIVAS, CON SUS RAICES;;;;;;6022059;10;56160;,576;32348,16;99;56160.0;UNIDADES;68;500;ACEM;64;a;VARIACION P/U;691,4                                                                                                                                                                                                                                                                ;12012017;1;80;7;ROT                                                  ;12012017;1;045-01065503;26122016;LAN CHILE;622158;2017;01
12012017;7455196;55;200;3;1976;100;14106;0;3188;0;0;908;SAN VICENTE;10;F;1;213;VERACRUZ;216;MEXICO;HAPAG-LLOYD;563;80992000;3;HAPAG-LLOYD;80992000;3;0;216;;27092017;142;3;5;1;17621,91;0;0;17621,91;0;0;270;1;1;17420;17621,91;0; ;0; ;0;0;0;NO; ;;0;;0;;1;06011011        ~ BULBOS DE FLORES~ VALDIVIA LILIES-F~ DE LILIUM~ EN;REPOSO VEGETATIVO;;;;;;6011011;10;74145;,237668;17621,91;99;11718.0;KN;33;;0000000003.40;68;700;TLCCH-M;17420                                                                                                                                                                                                                                                                                         ;12012017;1;76;1;                                                     ;12012017;1;HLCUSCL161253301;31122016;DUBLIN EXPRESS;146953;2017;01
12012017;7464944;48;200;3;2534;100;7301;0;3188;0;0;992;AEROP.A.M.BENITEZ;12;R;4;141;MIAMI;225;U.S.A.;ATLAS AIR;225;96566940;K;NEXUS LOGISTICS S.A.;76320340;9;0;225;;2102017;13;3;9;1;23092,3;0;6063,8;17028,5;0;0;270;10;362;1940;17028,5;6063,8; ;0; ;23092,3;0;0;NO; ;;0;;0;;1;PEONIAS         ~ PEONIA FRESCA~ CHILFRESH-F~ GRADO 50-60CM~ PAEONIA S;PP;;;;;;6031930;6;330;18,868182;6226,5;99;8895.0;UNIDADES;68;;SIN ACUERDO;0;;;500                                                                                                                                                                                                                                                                                           ;12012017;1;22;362;ROTULADO                                           ;12012017;1;369-68887313;5012017;ATLAS AIR;626918;2017;01
